,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
536,3,ERCOT_2020_HubAVG.csv,1001710,291,Microreactor,1,10.49269641,-7228566.523,-5886288.708,-1771011,0,0,-3350,432083.1857,Plastics Materials and Resins,18.06009261,21.84532287
541,3,ERCOT_2020_HubAVG.csv,1006416,260,Microreactor,1,9.50489798,-7110779.626,-5886288.708,-1771011,0,0,-3350,549870.0821,Plastics Materials and Resins,19.90273738,23.72264734
546,3,ERCOT_2020_HubAVG.csv,1006416,291,Microreactor,1,2.029691756,-6618108.269,-5886288.708,-1771011,0,0,-3350,1042541.439,Plastics Materials and Resins,85.47885149,103.3944371
548,0,ERCOT_2020_HubAVG.csv,1004368,260,iPWR,5,637.4217666,-220257080.2,-171728231.7,-44275000,-2640084.343,-29606235.84,-192500,28184971.76,Plastics Materials and Resins,9.192762517,10.95711907
556,3,ERCOT_2020_HubAVG.csv,1004368,291,Microreactor,1,0,-6492351.859,-5886288.708,-1771011,0,0,-6700,1171647.849,Plastics Materials and Resins,inf,inf
566,3,ERCOT_2020_HubAVG.csv,1004799,450,Microreactor,3,42.44378214,-21992129.08,-17658866.13,-5313033,0,0,-10050,989820.0427,Ethyl Alcohol,12.55102429,16.43034158
571,3,ERCOT_2020_HubAVG.csv,1004799,233,Microreactor,2,19.26895631,-14139667.59,-11772577.42,-3542022,0,0,-6700,1181631.827,Ethyl Alcohol,19.77026047,23.26882218
576,3,ERCOT_2020_HubAVG.csv,1000352,450,Microreactor,2,29.4315257,-14728965.66,-11772577.42,-3542022,0,0,-6700,592333.7575,Ethyl Alcohol,12.12231163,15.86912082
581,3,ERCOT_2020_HubAVG.csv,1000352,233,Microreactor,1,13.36155154,-7283453.15,-5886288.708,-1771011,0,0,-3350,377196.5588,Ethyl Alcohol,14.68628064,17.28517706
586,3,ERCOT_2020_HubAVG.csv,1007819,450,Microreactor,3,48.99725062,-22383855.84,-17658866.13,-5313033,0,0,-10050,598093.2898,Ethyl Alcohol,11.06596162,14.48627022
